id,artist,title,lyric,diary,emotion
1410,염따,돈 Call Me (Prod.BRLLNT),"Ayyyyy 야 이거 인트로 좆되는데? BRLLNT 예, 저는 랩과 돈을 좋아하는 30대 아저씨입니다. 좋아요, 댓글 부탁드립니다. 빠끄 빠끄 Don't Call Me 돈 Call Me 금, 은 Combi. Rollie, Rollie를 FLEX, 난 슈퍼 FLEX 알잖아 내 Class 돈 없으면 전화하지 마 Don't Call Me Cash Only 어쨌든 봄이 오긴 오지 Flex, 난 슈퍼 FLEX 알잖아 내 Class 돈 없으면 전화하지 마 검은색 뿔테안경 FLEX 여름에도 골덴바지를 FLEX Carhartt에서 쇼핑 FLEX 말도 없이 전화번호를 바꿔 Cash Only 현찰로 바꿔 나는 이제 창문 안 닦아 내 지폐 너무 따끈 따끈 돈 없으면 전화하지 마 빠끄 모범택시를 조져 FLEX 밥을 두 개 시켜 FLEX 영수증은 됐고 빠끄 전화번호를 내놔 빠끄 피씨방 알바는 왜 맨날 예쁜데 언제 끝나 잠깐 봇 듀오 가능해 Don't Call Me 돈 Call Me 금, 은 Combi. Rollie, Rollie를 FLEX, 난 슈퍼 FLEX 알잖아 내 Class 돈 없으면 전화하지 마 Don't Call Me Cash Only 어쨌든 봄이 오긴 오지 FLEX, 난 슈퍼 FLEX 알잖아 내 Class 돈 없으면 전화하지 마 밤을 샜지 빠끄 비가 샜지 빠끄 쌔고 쌨지 빠끄 이제 돈, 돈을 세지 내일 해 빠끄 난 게으름뱅이 빠끄 혼자 예민해 빠끄 이젠 돈 있어도 전화하지 마 1, 2, 3등 너네 맨날 나눠도 난 혼자서 돈이나 셀려고 BRLLNT 좋아요와 댓글 부탁드립니다. 빠끄 빠끄 Don't Call Me 돈 Call Me 금, 은 Combi. Rollie, Rollie를 FLEX, 난 슈퍼 FLEX 알잖아 내 Class 돈 없으면 전화하지 마 Don't Call Me Cash Only 어쨌든 봄이 오긴 오지 FLEX, 난 슈퍼 FLEX 알잖아 내 Class 돈 없으면 전화하지 마 어 어 그래 어 기리보이니? 어 아니 전화하지 마 전화하지 마 빠끄 빠끄 구라야","뭔가 묘하게 신나. 돈을 생각하면 막 웃음이 나오고, 괜히 옷도 좋은 걸 사고 싶어. 물론 지금 당장 엄청 부자도 아니고, 아직은 노력해야 할 게 많지만, 앞으로 돈을 좀 더 많이 벌어서 하고 싶은 거 다 하고 살 수 있겠다는 희망이 든다. 가끔 생각해보면, 예전에는 돈이 없어서 못 했던 일들이 얼마나 많았는지 몰라. 앞으로는 돈 때문에 힘들어하지 않고, 하고 싶은 거 하면서 즐겁게 살고 싶어. 물론 돈이 전부가 아니라는 것도 알지만, 돈이 있으면 확실히 선택의 폭이 넓어지고 자유로워지는 것 같아. 오늘은 괜히 기분 좋게 하루를 보내고 싶어. 맛있는 것도 먹고, 좋아하는 음악도 듣고, 그냥 푹 쉬면서 재충전해야겠다. 앞으로 더 열심히 해서, 돈 걱정 없이 행복하게 살 수 있도록 노력해야지.",행복
3124,넬 (NELL),백야,난 니가 필요해 난 오늘도 이렇게 내 안에 남겨진 너의 조각들과 또 사랑에 빠지고 다시 이별을 하지 넌 어떤지 난 니가 필요해 널 지우려 할 때마다 모든게 무너져 내려 송두리 째 끝없는 시간에 이 모든 공간에 짙게 물든 너의 그 숨결만이 가득해 난 오늘도 이렇게 내 안에 남겨진 약속의 조각들 기억의 흔적들 애써 맞춰가며 또 하루를 보내 넌 어떤지 난 니가 필요해 널 지우려 할 때마다 모든게 무너져 내려 송두리 째 끝없는 시간에 이 모든 공간에 짙게 물든 너의 그 숨결만이 가득해 I can't get over you I can't get over you You just keep shining on and on through my time I can't get over you I can't get over you 난 니가 필요해 너를 떠올릴 때마다 그 시간이 얼어붙어 송두리 째 노력해도 안돼 내가 숨을 쉴 때마다 너의 기억이 내게 말을 거는 듯 해 남겨지는 것도 떠나보내는 것도 모두 내 몫이겠지 마치 영화처럼 거짓말인 것처럼 돌아올리 없겠지 Come back to me,"텅 빈 방 안에 너의 흔적들이 가득하다. 숨을 쉴 때마다, 어떤 기억들이 말을 거는 듯 해. 노력해도 잊을 수가 없어. 지우려 할수록 더 깊이 무너져 내리는 것 같아. 마치 모든 게 멈춰버린 시간 속에서 혼자 갇힌 기분이야. 너를 떠올릴 때마다 가슴이 얼어붙는 것 같아. 애써 일상으로 돌아가려 하지만, 너의 그림자는 끊임없이 나를 따라와. 모든 공간이 너의 숨결로 가득 차 있는 것 같아. 아마도 내 몫은 이 슬픔을 견디고, 너의 기억을 간직하는 것일 거야. 돌아갈 수 없다는 걸 알면서도, 아직 마음 한켠에는 작은 희망을 품고 있어. 이 모든 감정을 끌어안고, 시간을 통해 조금씩 치유되기를 바랄 뿐이야.",사랑
69,윤건,어쩌다..,어쩌다 지나친 거릴 돌아보게 돼니가 있는 게 아닐텐데 맞을텐데어쩌다 오간 대화에 니 이름 오르면모두 놀란 듯이 나의 표정을 살피는데그런 니가 없어도 아직은 살만하다고또 내 맘을 속여가며 웃어주고그런 뒤에 돌아서 나 혼자 견딜 이별에눈물은 니가 되고 내가 되지 항상날 스치는 사람중에 왜 너 하나만 없는지오늘까지만 울면 내일은 너를 잊을까나 하나씩 너의 얘길 모두 지워가며그런 니가 없어도 아직은 살만하다고또 내 맘을 속여가며 웃어주고그런 뒤에 돌아서 나혼자 견딜 이별엔눈물은 니가 되고 내가 되지 항상,"온종일 무거운 기운이 가시질 않는다. 괜히 주변을 둘러보게 되고, 문득 어떤 얼굴을 찾게 되는 걸까. 분명히 그 사람은 곁에 없는데, 자꾸만 그 사람의 흔적을 찾으려는 나 자신이 바보처럼 느껴진다. 사람들 앞에서 괜찮은 척, 웃어 보이려고 노력하지만, 돌아선 순간 눈물이 핑 돌고 마음 한구석이 텅 빈 것 같다. 애써 괜찮다고 다독여도, 왠지 모르게 불안하고 초조하다. 마치 무거운 짐을 짊어진 것처럼, 어깨도 가슴도 답답하다.다른 사람들은 다 평범하게 흘러가는데, 나만 시간이 멈춰버린 것 같다. 그 사람의 이름이 떠오르지 않도록 애써 다른 생각에 집중하지만, 자꾸만 과거의 기억들이 떠오른다. 오늘은 그냥 이대로 슬픔에 잠겨도 괜찮을까. 애써 감정을 숨기기보다는, 솔직하게 슬퍼하고 싶다. 내 마음속 깊은 곳에 자리 잡은 이 슬픔을 인정하고, 잠시 쉬어가고 싶다.",슬픔
3437,G-DRAGON,늴리리야 (Niliria) (Feat. Missy Elliott) (Missy Elliott Ver.),G-dragon feature missy rappin and I'm snappin and I get crackin when I'm in the booth I'm blackin Yall just yappin yall just yappin We just laughing I got hits hits hits like a tennis racket Big bang clap it In another bracket Racks on rack it If the track is hot then missy smash it Party crash tragic Buss it like a prophylactic Tactics man this aint no practice Copycats u swagger jacking Who am iz Missy elliott E to the L to the I to the O two tt's That's effortless Supadupa fly aint that a b And my style be fresh like a peppermint On top I make em drop G-dragon this s is hot Don't stop I make em bop Up in the club this how we rock Turn it up now let it rock Now til the clock Go tic tock Speakers loud until they pop Let it drop like wop wop wop wop wop wop drop it like wop wop wop wop wop wop drop it like wop wop wop wop wop wop drop it like wop wop wop wop Huh 자랑스런 한국 몇몇 때문에 난국 한숨 하품 식어가는 관중 One king one crown 내 왼팔에 타투 새로운 시대의 막 창출 welcome to my 왕국 I'm the ill what's it gonna be 냈다 하면 hit 어렵지 않지 차트 위 줄 세우는 일 내겐 간단 missy와 나 들어봤나 You don't want none what what what what Get your freak on baby get your cray on baby 이건 랩으로 하는 국제적 외교 baby 88년도8월18일생 딱 봐도 뭘 가져도 너보다 많은 8자 Wop wop wop wop wop wop what drop it like Wop wop wop wop wop wop what drop it like Wop wop wop wop wop wop what drop it like Wop wop wop wop wop wop what drop it like 늴리리야 늴리리야 내가 돌아간다 drop it like 늴리리야 늴리리야 내가 돌아간다 drop it like 늴리리야 늴리리야 내가 돌아간다 drop it like 늴리리야 늴리리야 내가 돌아간다 여자들은 다 freaky freaky 해 왜 바로 여기 missy missy 때문에 yeah 남자들은 다 jiggy jiggy 해 왜 바로 여기 GD GD 때문에 yeah 여자들은 다 freaky freaky 해 왜 바로 여기 missy missy 때문에 yeah 남자들은 다 jiggy jiggy 해 왜 바로 여기 GD GD 때문에 yeah,"뭔가 벅차오르는 기분이야. 랩을 듣고 있으면 온 세상이 다 내 손안에 있는 것 같아. 특히 GD와 미시 엘리엇의 조합은 정말 최고야. 그들의 음악은 단순한 소리가 아니라, 나를 일으켜 세우는 에너지 같아. 음악을 듣다 보니 옛날 생각이 났어. 힘들 때 이 노래를 들으며 위로받았던 기억도 떠오르고. 마치 오랜 친구를 만난 것처럼 마음이 편안해져. 가사가 조금 과격하게 들릴 수도 있겠지만, 그 안에 숨겨진 자신감과 열정이 나를 자극해. 나도 저들처럼 뭐든 해낼 수 있다는 용기를 주거든. 이 노래를 들으니 괜히 신나서 밤새도록 춤추고 싶어. 사랑하는 사람들과 함께 이 에너지를 나누고 싶어. 오늘 하루는 정말 행복하게 보낼 거야.",사랑
2369,이하이,내 사랑 (MY LOVE),늘 멀리서 지켜만봤죠 내 사랑인 것 같아서 그대 같은 마음인 줄 알았죠 다른 곳을 보았지만 바람처럼 이 먼지처럼 잡히지가 않아 보이지않아 Remember love you I love you 사랑인 줄 믿었고 운명이라 불렀죠 Remember love you I love you 그대 눈동자 속에 내가 살고있는데 나에게만 대답해줘요 휘청이는 날 붙잡아줘요 내 사랑 내 사랑 내 마음의 창에 내리는 눈물이 대답해주네 내게 이룰 수 없는 인연이란 잊어야만 하는 사람 멀어지는 나의 사랑을 보내줘야해요 내가 아니니 Remember love you I love you 사랑인 줄 믿었고 운명이라 불렀죠 Remember love you I love you 그대 눈동자 속에 내가 살고있는데 나에게만 대답해줘요 휘청이는 날 붙잡아줘요 내 사랑 내 사랑,"멍하니 창밖을 바라봤어. 마치 그 사람 눈동자 속에 내가 살고 있는 것처럼, 현실과 꿈의 경계가 흐릿해지는 기분이야. 오랫동안 혼자 사랑했다고 믿었어. 그 사람이 나를 알아봐주기를, 같은 마음이기를 간절히 바랐지. 하지만 그건 착각이었을까. 점점 멀어져가는 모습에 가슴이 찢어지는 것 같아. 애써 붙잡으려 해도, 바람처럼 잡히지 않아. 마치 먼지처럼, 손에 쥘 수 없는 존재가 되어버린 그 사람. 이제는 인정해야 할 것 같아. 우리에게는 이룰 수 없는 인연이라고. 슬프지만, 이 아픔을 껴안고 살아가야겠지. 눈물이 멈추지 않아. 마음속 깊은 곳에서부터 흘러나오는 눈물이, 나에게 진실을 말해주는 것 같아.",사랑
253,WINNER,REALLY REALLY,REALLY REALLY REALLY REALLYOH WAHREALLY REALLY REALLY REALLY어디야 집이야 안 바쁨 나와봐너네 집 앞이야 너에게하고픈 말이 있어이걸 어떻게 말을 꺼내야할진 모르겠지만이상한 말 아냐 부담 없이 들어줘지금 내 눈에 제일아름다운 건 너야 LADY널 향한 내 맘이 돈이면아마 난 BILLIONAIRE널 좋아해REALLY REALLY REALLY REALLY내 맘을 믿어줘 OH WAHREALLY REALLY REALLY REALLY널 좋아해REALLY REALLY REALLY REALLY내 맘을 받아줘 OH WAHREALLY REALLY REALLY REALLY넌 나 어때멋지게 골인프러포즈 같은 세리머니정해보자 호칭허니 말고 자기 아님 달링낯간지럽네 상상해봐도긴장돼 필요해a lot of alcohol덩치는 산만해도네 앞에선 작아지네oh 내 맘 알까나첫눈에 미끄러지듯이Falling in love내 맘을 훔친 범인인 건바로 너너의 미모 질투해 여신도내 심장의 떨림은 진동 brrr치명적인 매력이 날 killin’섹시해 날 자극하는Hot chili woo오해하지 마 나는 진짜진심으로 채워줄게 너의 빈 잔지금 내 눈에 제일아름다운 건 너야 LADY널 향한 내 맘이 돈이면아마 난 BILLIONAIRE널 좋아해REALLY REALLY REALLY REALLY내 맘을 믿어줘 OH WAHREALLY REALLY REALLY REALLY널 좋아해REALLY REALLY REALLY REALLY내 맘을 받아줘 OH WAHREALLY REALLY REALLY REALLY넌 나 어때혹시라도 내가불편하면 let me know한걸음 뒤로 가단지 아는 사이로기다릴 수 있어너도 나를 좋아할 거 같다 말해줘지금 당장 만나나 진심으로 네게 할 말이 있어널 좋아해REALLY REALLY REALLY REALLY내 맘을 믿어줘 OH WAHREALLY REALLY REALLY REALLY널 좋아해REALLY REALLY REALLY REALLY내 맘을 받아줘 OH WAHREALLY REALLY REALLY REALLY넌 나 어때네가 좋아REALLY REALLY OH YEAH널 좋아해,"자꾸만 심장이 쿵쾅거려. 숨이 가빠질 정도로. 뭘 잘못한 건가, 혹시 내가 너무 서둘렀나. 머릿속이 복잡해. 괜히 주변만 빙빙 돌고.계속 눈에 아른거리는 얼굴이 있어. 그 사람만 나타나면 온 세상이 달라 보이는 것 같아. 마치 꿈을 꾸는 것처럼. 말도 안 되는 기대감에 부풀어 오르면서도, 동시에 불안감이 밀려와. 내가 감당할 수 있을까?왠지 모르게 자꾸만 초조해져. 괜히 괜히 목소리도 떨리는 것 같고. 혹시 내가 싫어하는 걸까? 혹시 내가 너무 부족한 걸까? 생각하면 생각할수록 더 답답해져. 그냥, 지금 이 순간은 그 사람 생각만 해도 가슴이 아릿해. 숨쉬기도 힘들고, 엉망진창이야.",행복
2536,육지담,On & On (Prod.by The Quiett),첨부터 길을 잃었던 아이 세상과 마주하기에 너무 어렸던 나이 너넨 모르겠지 TV에 웃는 내 모습과 인터넷 속 글만 죽어라 믿잖니 피부가 까맣다며 아이들이 놀릴 때 타샤의 검은 행복이 나를 위로 했어 그때부터 알게 된 힙합 그래 내 유일한 진짜 친구니까 눈을 떴을 땐 내가 가해자로 변신 대중이 무서워 걍 방구석에 숨은 병신 진실을 말해도 거짓에 묻히는 현실 아빤 하루도 편히 주무시지 못하셨지 감히 신을 원망하고 넘겼던 모든 잘못 내가 죽으면 알아줄까 했던 못된 사고 악몽에서 깨 몸으로 부딪쳤어 파도 그래 자 어디한번 끝까지 가보자고 It goes on and on and on My life's going on and on and on 난 나를 믿어 cause everythings gonna be alright It goes on and on and on 다른 사람들이 뭐래도 이게 나야 Look at me Cause I got something real in me 꿈같던 일들을 모두 보내고 가까워진 꿈 대신 가혹했던 통행료 Show me the money 3 나를 알린 대신 지나가는 이에게 침까지 맞게 됐지 눈물 팔이 No 이게 나 Real me 짜고 치는 Show 절대 대본 없는 진실 이제 알게 됐어 다들 믿고 싶은 대로 내 말 따윈 귀 기울여주지 않는 세상인 걸 다들 모른 척해 내가 주저앉을 때는 다들 아는 척해 혼자 일어섰을 때는 엎친 데 겹쳐 또 머리에 사라진 내 가사 차가워진 관객 표정 내 입술은 말라 바짝 잠깐 내가 사랑하는 사람 앞에 주저앉긴 너무나도 싫어 포기하고 싶어질 때 마다 나를 믿는 사람들의 응원에 다시 일어나 뛰어 It goes on and on and on My life's going on and on and on 난 나를 믿어 cause everythings gonna be alright It goes on and on and on 다른 사람들이 뭐래도 이게 나야 Look at me Cause I got something real in me cause I got something real in me cause I got something real in me cause I got something real in me cause I got something real in me cause I got something real in me cause I got something real in me cause I got something real in me,"적, 세상과 부딪히며 상처받았던 기억들이 주마등처럼 스쳐 지나간다. 까만 피부 때문에 놀림받고, 혼자 타샤의 그림 속 행복을 찾았던 시간들. 그때부터 힙합만이 유일한 친구였던 것 같다. 이제는 내가 가해자가 된 듯한 불안감, 대중의 시선에 숨고 싶어지는 나약함이 밀려온다. 진실을 말해도 외면받는 현실에 아버지가 밤잠을 설치셨던 모습이 떠오른다. 꿈을 향해 달려왔지만, 예상치 못한 통행료와 비난에 지쳐 주저앉고 싶을 때가 있다. 하지만 사랑하는 사람들을 생각하면 다시 일어설 힘이 솟아난다. 그들의 응원 덕분에, 나는 나 자신을 믿고 계속 나아갈 수 있다. 어쩌면 세상은 내가 믿고 싶은 대로만 보이는 걸지도 모른다. 하지만 괜찮다. 나는 나만의 진실을 가지고, 계속해서 노래할 것이다.",사랑
571,히어로,너만 아는 바보,잊는다는게 널 잊는다는게얼마나 힘든일인지 모를거야알면서도 모른 체 보고도 또 못본 체나 그냥 그렇게 살아 가는데사랑하는게 널 사랑하는게얼마나 힘든일인지 모를거야미워할수도 없고 떠나 갈수도 없는너를 사랑할 수 밖에 없는 나니까차가운 너의 말들과 무뎌진 너의 눈길이하루하루를 눈물로 지내게 해내가 뭘 잘못했는지 내가 왜 싫어졌는지묻고 싶지만 너무 두려워잊는다는게 널 잊는다는게얼마나 힘든일인지 모를거야알면서도 모른 체 보고도 또 못본 체나 그냥 그렇게 살고있는데아니겠지 아닐꺼야 그런건 아닐꺼야잠시동안 시간이 필요한거야말했잖아 널사랑한다고다른사람과 웃고 있는 너 난 잘못본거야모두 이해해줄께 모른척 참아주면 돼기다릴꺼야 니맘 돌아올 날을날 밀어내지는 말아 가끔 널 보여주면 돼너없는 나는 의미가 없어난 늘 믿고 있었어 사랑을 하게 된다면매일 매일이 꿈만 같을꺼라고내가 뭘 잘못 안걸까 혼자서 아파하는게한숨뿐인게 사랑인걸까사랑하는게 얼마나 힘든일 인지 모를꺼야알면서도 모른 체 보고도 또 못본 체너만 아는 바보이니까 -,"텅 빈 방 안에 갇혀있는 기분이다. 숨을 쉴 때마다 가슴 한구석이 묵직하게 아파온다. 애써 외면하고 싶어도 자꾸만 떠오르는 얼굴, 그 사람의 차가운 시선에 온몸이 떨린다. 왜 이렇게 되었을까. 내가 뭘 잘못한 걸까. 물어보고 싶지만, 입이 떨어지지 않는다. 혹시라도 더 상처받을까 봐, 더 아파할까 봐. 그냥 이대로 조용히 잊혀지는 게 낫지 않을까. 모두 괜찮다고, 시간이 약이라고 하지만, 시간이 흐를수록 더 깊어지는 슬픔을 어떻게 해야 할까. 주변 사람들은 웃고 떠들지만, 나만 홀로 멈춰버린 것 같다. 나 없이도 그 사람은 잘 지낼 거다. 웃고, 사랑하고, 행복하게. 나는 그저… 그 사람이 없는 세상에서 혼자 덜컹거리는 기계처럼 살아갈 뿐. 그 사실이 너무나 뼈저리게 아프다.",사랑
544,데이식스,Shoot Me,쉬운 일이 절대 아냐 네 앞에 서는 건 스릴러 한편이야 잘 나가다가도 뭔가 어긋나면 그대로 시작이야 싸늘해져 가는 네 눈빛 무거워지는 분위기 난 그 자리 가만히 앉은 채 숨을 고르고 있어 서로를 향한 말투는 점점 더 날카로워져만 가 그래 날 쏴 Bang bang 너의 Bullet bullet bullet 얼마든지 맞아줄게 원한 게 이거라면 Just shoot me Shoot me 나를 향해 쏴 Bang bang 그게 편해 편해 편해 이젠 너무 익숙해 이걸로 풀린다면 Just shoot me Shoot me 이걸 기대한 건 아냐 너와 원했던 건 로맨스 한편이야 하지만 현실은 툭하면 붉어져 한편의 드라마야 너의 대사 속 이젠 끝이야 진심이 아니길 빌어 그저 불안한 맘에 뱉은 거라고 믿고 싶어 서로를 향한 말투는 점점 더 날카로워져만 가 그래 날 쏴 Bang bang 너의 Bullet bullet bullet 얼마든지 맞아줄게 원한 게 이거라면 Just shoot me Shoot me 나를 향해 쏴 Bang bang 그게 편해 편해 편해 이젠 너무 익숙해 이걸로 풀린다면 Just shoot me Shoot me I’m okay So if you wanna hurt me Baby just hurt me I’m okay So if you wanna hurt me Baby just hurt me 가슴에 박히는 너의 한발 한발이 사실은 너무 아파 It hurts so bad so bad 그래 날 쏴 Bang bang 너의 Bullet bullet bullet 얼마든지 맞아줄게 원한 게 이거라면 Just shoot me Shoot me 나를 향해 쏴 Bang bang 그게 편해 편해 편해 이젠 너무 익숙해 이걸로 풀린다면 Just shoot me Shoot me,"묘하게 가슴이 답답하다. 숨을 쉬는 것조차 버겁고, 자꾸만 무언가에 짓눌리는 기분이다. 평소라면 웃어넘길 일들조차 오늘은 건드리지 않게 된다. 마치 유리 조각을 밟은 것처럼, 사소한 것 하나하나가 날카롭게 느껴진다. 애써 괜찮은 척, 무덤덤한 척 하지만 속으로는 끊임없이 울고 있다. 굳게 닫힌 문을 두드려도, 아무도 내 목소리를 듣지 못하는 것 같다. 어쩌면 내가 먼저 소리를 지르지 못하는 건지도 모른다. 그냥 모든 게 귀찮고, 아무것도 하고 싶지 않다. 차라리 아무것도 느끼지 못하는 게 나을지도 모르겠다. 이 텅 빈 감정을 채우는 방법도, 벗어나는 방법도 모르겠다. 그저 시간이 흘러가기만을 기다릴 뿐이다. 이 답답함이 언제까지 지속될지, 알 수 없다.",분노
1953,로꼬,지나쳐 (Feat. DEAN),너무 지나쳐 휘어지는 굴곡이 너무 지나쳐 올라간 치마 길이 너무 지나쳐 내려가는 나의 시선이 지나쳐 너의 발길을 멈추기엔 나의 평범함이 너무 지나쳐 니가 소리 내는 하이힐 킥 주위엔 검은 제비들 높이가 너무 지나쳐 일정한 걸음걸이 난 나른하고 싶지만 심장박동이 너무 지나쳐 풀린 듯한 눈 가던 길 가라 하는 듯해도 나는 못 지나쳐 관람하기만 해 홀로 앉은 채로 숨 막히는 청불 영화를 보듯이 난감하기만 해 팔다리가 아무것도 못하고 있는 나의 모습이 사실 너와 눈 마주치기 싫어 이미 지나치게 축복받고 있는 삶이 흐트러질 것 같거든 망가져 버릴 것만 같거든 너무 지나쳐 휘어지는 굴곡이 너무 지나쳐 올라간 치마 길이 너무 지나쳐 내려가는 나의 시선이 지나쳐 Can I get a oh yeah oh yeah 넌 too much but I like it ok her dance is too much but I like it 봄이 코끝을 스치듯 넌 날 지나쳐 yeah 니가 모르게 널 상상해도 이번에는 닿지 않기를 빌게 이제는 주머니가 두둑해도 하루빨리 이 앨범을 내야 해 바텐더는 내게 술을 주지 마 창문은 이쪽으로 바람 불지 마 난 지금도 충분히 충분하니까 내 앞에서 더는 지나치지 마 oh yeah nope 지금 이 느낌이 김칫국이라면 no more yeah 신께서 주신 찬스인 거라도 괜히 걱정돼 oh wait 이건 본 적 없던 케이스 I don't care yeah I don't wanna care-ay-ay-yeah DJ Play it again again 너무 지나쳐 휘어지는 굴곡이 너무 지나쳐 올라간 치마 길이 너무 지나쳐 내려가는 나의 시선이 지나쳐 Can I get a oh yeah oh yeah 넌 too much but I like it ok her dance is too much but I like it 봄이 코끝을 스치듯 넌 날 지나쳐 yeah,"모든 게 과하게 느껴져. 시선이 자꾸 맴돌고, 괜히 마음이 불안해. 마치 한계를 넘어서는 듯한 느낌, 너무 과한 자극에 정신없이 흔들리는 기분이야. 이런 상황이 두려운 걸까. 익숙한 일상이 무너질까 봐, 완벽하게 쌓아온 삶이 망가질까 봐 걱정돼. 사실은, 다른 사람과 마주치는 것도, 새로운 기회를 맞는 것도 무서워. 그래도 이상하게 긍정적인 감정도 느껴져. 위험하고 불안하지만, 동시에 설레고 기대되기도 해. 어쩌면 지금 이 감정이 내가 성장할 수 있는 기회가 될지도 몰라. 괜찮아, 뭐든 흘러가도록 내버려둬야지. 지금 이 순간을 즐겨야지.",희망
